shirtNo,team,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes,Goals,Assists,Shots,xG,xGOT,xA,ChancesCreated,name,playerId,fotmob_name,fotmob_player_id
1.0,Arouca,270.0,25.0,0.0,7.0,0.0,105.0,71.0,0.0,0.19838491,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emilijus Zubas,72726.0,,
1.0,Boavista,270.0,16.0,0.0,7.0,0.0,93.0,54.0,0.0,0.0959737599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bracali,35211.0,,
1.0,Braga,630.0,29.0,2.0,18.0,2.0,304.0,248.0,3.0,0.2884151099999999,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matheus,296521.0,,
1.0,Chaves,630.0,31.0,4.0,21.0,0.0,255.0,192.0,0.0,0.42759525,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paulo Vítor,363078.0,,
1.0,Maritimo,540.0,26.0,0.0,13.0,0.0,206.0,111.0,0.0,0.1969440099999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miguel Silva,322791.0,,
1.0,Pacos-de-Ferreira,180.0,2.0,0.0,4.0,0.0,67.0,51.0,0.0,-0.01060058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordi,279566.0,,
1.0,Sporting,630.0,12.0,0.0,13.0,0.0,234.0,200.0,0.0,0.0255096699999996,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antonio Adán,23285.0,,
2.0,Arouca,111.0,6.0,4.0,15.0,2.0,63.0,49.0,4.0,0.1206160600000001,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04,0.0,0.02,2.0,Morlaye Sylla,431222.0,Morlaye Sylla,689050.0
2.0,Benfica,316.0,21.0,49.0,37.0,8.0,326.0,264.0,18.0,1.4510221199999995,13.0,15.0,2.0,10.0,3.0,1.0,0.0,1.0,0.29,0.33,0.8800000000000001,8.0,Gilberto,119542.0,Gilberto Junior,387499.0
2.0,Boavista,585.0,20.0,18.0,82.0,1.0,344.0,296.0,4.0,0.3602262899999999,6.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,Reggie Cannon,333946.0,Reggie Cannon,825603.0
2.0,Braga,43.0,2.0,0.0,1.0,0.0,18.0,13.0,0.0,0.00064712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,Víctor Gómez,384566.0,Victor Gomez,927647.0
2.0,Casa-Pia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Eduardo Fereira,921605.0
2.0,Chaves,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0244154499999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Habib Sylla,447020.0,Habib Sylla,1204569.0
2.0,Maritimo,601.0,47.0,35.0,79.0,3.0,275.0,174.0,12.0,0.8019807799999998,7.0,26.0,1.0,5.0,1.0,1.0,0.0,1.0,0.66,0.99,0.1499999999999999,7.0,Claudio Winck,101952.0,Claudio Winck,267368.0
2.0,Porto,180.0,7.0,9.0,16.0,0.0,128.0,117.0,0.0,0.37164051,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09,0.0,0.02,1.0,Fábio Cardoso,322771.0,Fabio Cardoso,361751.0
2.0,Sporting,528.0,26.0,33.0,53.0,5.0,408.0,360.0,12.0,0.2616108400000001,11.0,26.0,1.0,6.0,2.0,0.0,0.0,2.0,0.14,0.0,0.3299999999999998,3.0,Matheus Reis,283978.0, Matheus,653592.0
2.0,Vitoria-de-Guimaraes,202.0,13.0,6.0,31.0,0.0,111.0,90.0,0.0,0.4491696899999998,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,Miguel Maga,431674.0, Maga,1282445.0
3.0,Arouca,450.0,12.0,8.0,65.0,0.0,154.0,123.0,0.0,0.2061081399999998,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,Jerome Opoku,382364.0,Jerome Opoku,873227.0
3.0,Benfica,620.0,54.0,38.0,69.0,9.0,562.0,457.0,14.0,2.7638245800000005,16.0,24.0,2.0,20.0,5.0,0.0,2.0,0.0,0.24,0.1,2.22,18.0,Alejandro Grimaldo,107252.0,Alex Grimaldo,288406.0
3.0,Braga,619.0,34.0,11.0,76.0,0.0,391.0,333.0,0.0,0.6712455099999998,2.0,34.0,0.0,2.0,1.0,1.0,0.0,3.0,0.39,0.78,0.17,2.0,Vítor Tormena,363935.0,Vitor Tormena,866509.0
3.0,Casa-Pia,450.0,18.0,12.0,70.0,1.0,230.0,181.0,1.0,0.1382101699999998,1.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06,0.16,0.04,0.0,João Nunes,444765.0,Joao Nunes,574658.0
3.0,Chaves,629.0,33.0,19.0,86.0,0.0,317.0,261.0,0.0,0.4093354299999999,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,0.0,0.21,1.0,Nélson Monte,323355.0,Nelson Monte,534473.0
3.0,Estoril,630.0,21.0,16.0,82.0,1.0,317.0,276.0,1.0,0.3668524699999997,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.05,0.0,Bernardo Vital,421890.0,Bernardo Vital,1184043.0
3.0,Famalicao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Owen Beck,1107628.0
3.0,Gil-Vicente,630.0,57.0,28.0,77.0,1.0,490.0,422.0,1.0,1.1073143299999997,1.0,48.0,0.0,4.0,1.0,0.0,0.0,3.0,0.1,0.0,0.3299999999999998,5.0,Lucas Cunha,334129.0,Lucas Ferrugem,631754.0
3.0,Maritimo,291.0,10.0,10.0,54.0,0.0,118.0,89.0,0.0,0.1151204899999998,0.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.23,0.0,0.0,1.0,Moisés Mosquera,401126.0,Moises Mosquera,1187762.0
3.0,Pacos-de-Ferreira,540.0,41.0,2.0,65.0,0.0,339.0,300.0,0.0,0.5488493999999999,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,Nuno Lima,423078.0,Nuno Lima,1282423.0
3.0,Portimonense,90.0,4.0,5.0,23.0,0.0,46.0,31.0,1.0,0.0910501099999998,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,Zié Mohamed Ouattara,404051.0,Zie Ouattara,960049.0
3.0,Porto,450.0,33.0,10.0,81.0,2.0,356.0,295.0,2.0,0.5808977099999997,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.0799999999999998,1.0,Pepe,10105.0, Pepe,25921.0
3.0,Rio-Ave,405.0,17.0,20.0,46.0,0.0,257.0,207.0,4.0,0.4665726500000001,2.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.16,0.05,2.0,Miguel Nóbrega,444574.0,Miguel Nobrega,993805.0
3.0,Santa-Clara,74.0,13.0,3.0,6.0,0.0,46.0,34.0,0.0,0.7783315899999999,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,Xavier Quintillá,369884.0,Xavi Quintillà,522578.0
3.0,Sporting,177.0,14.0,13.0,14.0,2.0,175.0,160.0,3.0,0.3422335799999997,4.0,18.0,0.0,0.0,0.0,1.0,0.0,2.0,0.48,0.92,0.05,2.0,Jeremiah St. Juste,259929.0,Jerry St. Juste,611831.0
3.0,Vitoria-de-Guimaraes,450.0,20.0,12.0,50.0,0.0,250.0,216.0,0.0,0.3927183899999999,2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,0.0,0.36,2.0,Mikel Villanueva,318502.0,Mikel Villanueva,423663.0
