Position,Team,Games,Wins,Draws,Losses,Goals,Goals Against,Goal Difference,Points,Last 5,Attendance
1,Benfica,5,5,0,0,13,3,10,15,W W W W W,51909
2,Braga,5,4,1,0,18,3,15,13,D W W W W,17269
3,Porto,5,4,0,1,12,4,8,12,W W W L W,47870
4,Portimonense,5,4,0,1,7,2,5,12,L W W W W,2487
5,Boavista,5,3,0,2,4,6,-2,9,W W L L W,7097
6,Chaves,5,2,2,1,6,4,2,8,L W D W D,5334
7,Casa Pia,5,2,2,1,3,1,2,8,D L W W D,8137
8,Sporting,5,2,1,2,8,8,0,7,D W L L W,31584
9,Arouca,5,2,1,2,3,11,-8,7,L W W L D,2054
10,Estoril,5,2,1,2,7,5,2,7,W L D W L,2644
11,Vitoria de Guimaraes,5,2,0,3,3,4,-1,6,W W L L L,14942
12,Vizela,5,1,2,2,5,6,-1,5,W L D D L,3752
13,Gil Vicente,5,1,2,2,3,5,-2,5,W L D D L,5858
14,Rio Ave,5,1,2,2,6,8,-2,5,L L D W D,3509
15,Famalicao,5,1,1,3,1,6,-5,4,L L D W L,4137
16,Santa Clara,5,1,1,3,4,6,-2,4,D L L L W,1323
17,Pacos de Ferreira,5,0,0,5,2,11,-9,0,L L L L L,2565
18,Maritimo,5,0,0,5,3,15,-12,0,L L L L L,5806
