id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam
2374330631.0,2.0,0.0,0.0,2899.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Sporting
2374330629.0,2.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Sporting
2374366117.0,1070.0,0.0,0.0,296.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Sporting
2374366133.0,693.0,0.0,0.0,2899.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vizela,Sporting
2374308399.0,1.0,0.0,0.0,2899.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'JerseyNumber', 'CaptainPlayerId', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Vizela,Sporting
2374308545.0,1.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'JerseyNumber', 'TeamFormation', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Vizela,Sporting
2374330637.0,3.0,0.0,1.0,296.0,52.395,33.932,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,135563.0,47.25,36.924,,,,,,,,,,21.0,Paulinho,False,Vizela,Sporting
2374330657.0,4.0,0.0,2.0,296.0,47.04,36.856,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,384888.0,32.025,33.932,,,,,,,,,,68.0,Daniel Bragança,False,Vizela,Sporting
,,0.0,2.0,,32.025,33.932,,,Carry,,,,,71268.0,32.025,31.28,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330661.0,5.0,0.0,4.0,296.0,32.025,31.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,71268.0,32.865,20.604000000000003,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330663.0,6.0,0.0,5.0,296.0,32.97,20.468000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,395992.0,36.855000000000004,22.236000000000004,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
2374330673.0,7.0,0.0,6.0,296.0,36.855000000000004,22.236000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,322774.0,30.345,20.264000000000003,,,,,,,,,,6.0,João Palhinha,False,Vizela,Sporting
2374330687.0,8.0,0.0,7.0,296.0,30.765,21.216,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,395992.0,31.185000000000002,34.068000000000005,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
,,0.0,7.0,,31.185000000000002,34.068000000000005,,,Carry,,,,,71268.0,30.87,36.448,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330693.0,9.0,0.0,10.0,296.0,30.87,36.448,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Length', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,71268.0,39.06,41.344,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330699.0,10.0,0.0,11.0,296.0,39.165,42.024,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,384888.0,33.495,48.416000000000004,,,,,,,,,,68.0,Daniel Bragança,False,Vizela,Sporting
2374330717.0,11.0,0.0,13.0,296.0,34.02,49.164,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,283978.0,47.355000000000004,64.668,,,,,,,,,,2.0,Matheus Reis,False,Vizela,Sporting
,,0.0,13.0,,47.355000000000004,64.668,,,Carry,,,,,296364.0,61.005,64.804,,,,,,,,,,11.0,Nuno Santos,True,Vizela,Sporting
