OwnHalfDefActions,team,OppHalfDefActions,teamId
2548.0,Gil-Vicente,481.0,290
2913.0,Maritimo,400.0,264
2903.0,Vizela,454.0,2899
2510.0,Estoril,408.0,2188
2949.0,Famalicao,484.0,935
2753.0,Pacos-de-Ferreira,458.0,786
2781.0,Moreirense,494.0,108
2798.0,Arouca,503.0,5948
2417.0,Porto,781.0,297
2990.0,Boavista,367.0,122
2514.0,Benfica,606.0,299
2727.0,Braga,589.0,288
2824.0,Santa-Clara,444.0,251
2507.0,Vitoria-de-Guimaraes,497.0,107
2859.0,Portimonense,388.0,1463
2549.0,Sporting,637.0,296
2743.0,Belenenses-SAD,403.0,292
2975.0,Tondela,340.0,8071
